02.10.2022 - 02:33: 	Создали список списков из новых значений ['иванов', 'иван', 'петрович', '75984375897', 'аводоппа'] 	=  
02.10.2022 - 02:33: 	Записываем их в файл 	= Все удовлетворяет требованиям
02.10.2022 - 02:33: 	Пишем данные ['Иванов', 'Иван', 'Петрович', '75984375897', 'аводоппа'] в файл csv 	= 
02.10.2022 - 02:34: 	Читаем данные из файла csv 	= 
02.10.2022 - 02:34: 	База данных из файла csv 	= Отобразили
02.10.2022 - 02:34: 	Ищем запись Иван 	= 
02.10.2022 - 02:34: 	Запись Иван нашлась 	= Все отобразилось
02.10.2022 - 02:34: 	Ищем запись Иван 	= 
02.10.2022 - 02:34: 	Запись Иван нашлась 	= Все отобразилось
02.10.2022 - 02:35: 	Создали список списков из новых значений ['петров-водкин', 'семен', 'батькович', '5478985409-', 'аовджлов'] 	=  
02.10.2022 - 02:35: 	Ошибка в строке 5478985409- 	= Ошибка
02.10.2022 - 02:35: 	Данные введены с ошибками ['Петров-Водкин', 'Семен', 'Батькович', '5478985409-', 'аовджлов'] 	= Нужно перезаполнить
02.10.2022 - 02:35: 	Создали список списков из новых значений ['Петров-Водкин', 'Семен', 'Батькович', '5478985409', 'аовджлов'] 	=  
02.10.2022 - 02:35: 	Записываем их в файл 	= Все удовлетворяет требованиям
02.10.2022 - 02:35: 	Пишем данные ['Петров-Водкин', 'Семен', 'Батькович', '5478985409', 'аовджлов'] в файл txt 	= 
02.10.2022 - 02:35: 	Читаем данные из файла txt 	= 
02.10.2022 - 02:35: 	База данных из файла txt 	= Отобразили02.10.2022 - 16:00: 	Создали список списков из новых значений ['Аветян', 'Давид', 'Арменович', '89237778866', 'Крутой мужик'] 	=  
02.10.2022 - 16:00: 	Записываем их в файл 	= Все удовлетворяет требованиям
02.10.2022 - 16:00: 	Пишем данные ['Аветян', 'Давид', 'Арменович', '89237778866', 'Крутой мужик'] в файл csv 	= 
02.10.2022 - 16:00: 	Читаем данные из файла csv 	= 
02.10.2022 - 16:00: 	База данных из файла csv 	= Отобразили
02.10.2022 - 16:01: 	Ищем запись Сер 	= 
02.10.2022 - 16:01: 	Запись Сер нашлась 	= Все отобразилось
02.10.2022 - 16:01: 	Ищем запись Сер 	= 
02.10.2022 - 16:01: 	Запись Сер нашлась 	= Все отобразилось
02.10.2022 - 16:03: 	Запустили контроллер 	= Ок
02.10.2022 - 16:10: 	Ищем запись Дав 	= 
02.10.2022 - 16:10: 	Записи Дав нет 	= 
02.10.2022 - 16:10: 	Ищем запись Дав 	= 
02.10.2022 - 16:10: 	Записи Дав нет 	= 
02.10.2022 - 16:10: 	Ищем запись Дав 	= 
02.10.2022 - 16:10: 	Записи Дав нет 	= 
02.10.2022 - 16:10: 	Создали список списков из новых значений ['Сергеев', 'Михаил', 'Сергеевич', '89615473443', 'Дурачок'] 	=  
02.10.2022 - 16:10: 	Записываем их в файл 	= Все удовлетворяет требованиям
02.10.2022 - 16:10: 	Пишем данные ['Сергеев', 'Михаил', 'Сергеевич', '89615473443', 'Дурачок'] в файл txt 	= 
02.10.2022 - 16:11: 	Ищем запись Михаил Сергеевич 	= 
02.10.2022 - 16:11: 	Записи Михаил Сергеевич нет 	= 
02.10.2022 - 16:11: 	Ищем запись Михаил 	= 
02.10.2022 - 16:11: 	Записи Михаил нет 	= 
02.10.2022 - 16:11: 	Ищем запись Михаил 	= 
02.10.2022 - 16:11: 	Записи Михаил нет 	= 
02.10.2022 - 16:11: 	Ищем запись Михаил 	= 
02.10.2022 - 16:11: 	Записи Михаил нет 	= 
02.10.2022 - 16:12: 	Ищем запись Сергеевич 	= 
02.10.2022 - 16:12: 	Записи Сергеевич нет 	= 
02.10.2022 - 16:12: 	Ищем запись Сергей 	= 
02.10.2022 - 16:12: 	Записи Сергей нет 	= 
02.10.2022 - 16:12: 	Запустили контроллер 	= Ок
